S1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,1,0.5517241379,0.2962962963,0.6605293441,0.4005602241,0.5575757576,0.3195515067,0.5141242938,0.3779264214,0.4244604317,0.2836538462,0.2591362126,0.4916666667,0.4128440367,0.4055299539,0.4848484848,0.1839622642,0.3038626609,0.2845691383,0.4157303371,0.2804385459,0.2119815668,0.2574916759,0.3054130618,0.3937198068,0.5536982867,0.6960486322,0.8145315488,0.3636363636,0.2117962466,0.3409090909,0.3076923077,0.429245283,0.6708860759,0.3339011925,0.5157232704,0.6,0.2543640898,0.32996633,0.6222222222,0.5655430712,0.7105263158,0.2357019064,0.6923076923,0.4482758621,0.4481981982,0.7455621302,0.3505154639,1
1,0.5517241379,0.2962962963,0.6605293441,0.4005602241,0.5575757576,0.3195515067,0.5141242938,0.3779264214,0.4244604317,0.2836538462,0.2591362126,0.4916666667,0.4128440367,0.4055299539,0.4848484848,0.1839622642,0.3038626609,0.2845691383,0.4157303371,0.2804385459,0.2119815668,0.2574916759,0.3054130618,0.3937198068,0.5536982867,0.6960486322,0.8145315488,0.3636363636,0.2117962466,0.3409090909,0.3076923077,0.429245283,0.6708860759,0.3339011925,0.5157232704,0.6,0.2543640898,0.32996633,0.6222222222,0.5655430712,0.7105263158,0.2357019064,0.6923076923,0.4482758621,0.4481981982,0.7455621302,0.3505154639,0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,0
0.5,0.8620689655,0.1851851852,0.83429229,0.04761904762,0.8575757576,0.5711282411,0.4604519774,0.4983277592,0.5208633094,0.3149038462,0.5282392027,0.3333333333,0.2293577982,0.3778801843,0.3333333333,0.5896226415,0.3751072961,0.5511022044,0.5505617978,0.5441431044,0.5207373272,0.5527192009,0.4080085751,0.7342995169,0.2703719181,0.6170212766,0.517208413,0.9090909091,0.4021447721,0.2878787879,0.1538461538,0.6588050314,0.5316455696,0.3594548552,0.1446540881,0.8,0.4646716542,0.1952861953,0.6666666667,0.3820224719,0.3157894737,0.2772963605,0.4038461538,0.4137931034,0.4076576577,0.5266272189,0.3711340206,0.5625,0.6551724138,0.2962962963,0.6996547756,0.08403361345,0.803030303,0.5725297828,0.6497175141,0.3143812709,0.2690647482,0.5697115385,0.8405315615,0.3583333333,0.6513761468,0.6405529954,0.6666666667,0.5212264151,0.5012875536,0.5571142285,0.4584269663,0.6733987305,0.4170506912,0.5793562708,0.1767092872,0.8140096618,0.4517342248,0.7416413374,0.7370936902,0.6363636364,0.5844504021,0.5606060606,0.4615384615,0.677672956,0.7658227848,0.3509369676,0.3144654088,0.85,0.5095594347,0.4511784512,0.6666666667,0.6404494382,0.6842105263,0.5996533795,0.3782051282,0.2873563218,0.4436936937,0.3786982249,0.8144329897,1
0.5625,0.6551724138,0.2962962963,0.6996547756,0.08403361345,0.803030303,0.5725297828,0.6497175141,0.3143812709,0.2690647482,0.5697115385,0.8405315615,0.3583333333,0.6513761468,0.6405529954,0.6666666667,0.5212264151,0.5012875536,0.5571142285,0.4584269663,0.6733987305,0.4170506912,0.5793562708,0.1767092872,0.8140096618,0.4517342248,0.7416413374,0.7370936902,0.6363636364,0.5844504021,0.5606060606,0.4615384615,0.677672956,0.7658227848,0.3509369676,0.3144654088,0.85,0.5095594347,0.4511784512,0.6666666667,0.6404494382,0.6842105263,0.5996533795,0.3782051282,0.2873563218,0.4436936937,0.3786982249,0.8144329897,0.5,0.8620689655,0.1851851852,0.83429229,0.04761904762,0.8575757576,0.5711282411,0.4604519774,0.4983277592,0.5208633094,0.3149038462,0.5282392027,0.3333333333,0.2293577982,0.3778801843,0.3333333333,0.5896226415,0.3751072961,0.5511022044,0.5505617978,0.5441431044,0.5207373272,0.5527192009,0.4080085751,0.7342995169,0.2703719181,0.6170212766,0.517208413,0.9090909091,0.4021447721,0.2878787879,0.1538461538,0.6588050314,0.5316455696,0.3594548552,0.1446540881,0.8,0.4646716542,0.1952861953,0.6666666667,0.3820224719,0.3157894737,0.2772963605,0.4038461538,0.4137931034,0.4076576577,0.5266272189,0.3711340206,0
0.3125,0.724137931,0.2592592593,0.747986191,0.06722689076,0.8121212121,0.6201822004,0.6440677966,0.4548494983,0.4532374101,0.4495192308,0.4186046512,0.525,0.4587155963,0.7880184332,0.7878787879,0.6320754717,0.5570815451,0.6032064128,0.6786516854,0.4702827467,0.4516129032,0.5960044395,0.2143786846,0.6231884058,0.692018387,0.9240121581,0.879541109,0.7272727273,0.471849866,0.4166666667,0.4615384615,0.8459119497,0.9050632911,0.4327086882,0.3459119497,0.9,0.4804655029,0.3434343434,0.7333333333,0.3445692884,0.3289473684,0.2824956672,0.5320512821,0.4137931034,0.2882882883,0.4911242604,0.3505154639,0.75,0.8275862069,0.1481481481,0.8550057537,0.06442577031,0.8151515152,0.5781359495,0.5903954802,0.4983277592,0.5870503597,0.4471153846,0.6445182724,0.375,0.4587155963,0.4423963134,0.4393939394,0.6533018868,0.5811158798,0.5430861723,0.497752809,0.5983843047,0.435483871,0.6304106548,0.1349820075,0.6859903382,0.4759715838,0.6534954407,0.6137667304,0.7272727273,0.3914209115,0.3484848485,0.3076923077,0.7201257862,0.746835443,0.332197615,0.2264150943,0.9,0.4771404821,0.3367003367,0.6888888889,0.2359550562,0.2105263158,0.6360485269,0.2628205128,0.4597701149,0.2747747748,0.3550295858,0.5670103093,
0.75,0.8275862069,0.1481481481,0.8550057537,0.06442577031,0.8151515152,0.5781359495,0.5903954802,0.4983277592,0.5870503597,0.4471153846,0.6445182724,0.375,0.4587155963,0.4423963134,0.4393939394,0.6533018868,0.5811158798,0.5430861723,0.497752809,0.5983843047,0.435483871,0.6304106548,0.1349820075,0.6859903382,0.4759715838,0.6534954407,0.6137667304,0.7272727273,0.3914209115,0.3484848485,0.3076923077,0.7201257862,0.746835443,0.332197615,0.2264150943,0.9,0.4771404821,0.3367003367,0.6888888889,0.2359550562,0.2105263158,0.6360485269,0.2628205128,0.4597701149,0.2747747748,0.3550295858,0.5670103093,0.3125,0.724137931,0.2592592593,0.747986191,0.06722689076,0.8121212121,0.6201822004,0.6440677966,0.4548494983,0.4532374101,0.4495192308,0.4186046512,0.525,0.4587155963,0.7880184332,0.7878787879,0.6320754717,0.5570815451,0.6032064128,0.6786516854,0.4702827467,0.4516129032,0.5960044395,0.2143786846,0.6231884058,0.692018387,0.9240121581,0.879541109,0.7272727273,0.471849866,0.4166666667,0.4615384615,0.8459119497,0.9050632911,0.4327086882,0.3459119497,0.9,0.4804655029,0.3434343434,0.7333333333,0.3445692884,0.3289473684,0.2824956672,0.5320512821,0.4137931034,0.2882882883,0.4911242604,0.3505154639,1
0.25,0.7931034483,0.2222222222,0.7928653625,0.05602240896,0.8272727273,0.7133847232,0.6920903955,0.3612040134,0.4690647482,0.4903846154,0.5415282392,0.475,0.4678899083,0.465437788,0.4393939394,0.695754717,0.5570815451,0.6452905812,0.7123595506,0.4933641085,0.5529953917,0.667036626,0.2879565118,0.9975845411,0.7074801504,0.6930091185,0.6185468451,0.8181818182,0.5201072386,0.4166666667,0.3846153846,0.7688679245,0.7341772152,0.5689948893,0.4339622642,0.7,0.6275976725,0.4545454545,0.6888888889,0.5842696629,0.5526315789,0.5372616984,0.4230769231,0.2988505747,0.5157657658,0.6035502959,0.4226804124,0.8125,0.8965517241,0.1111111111,0.8964326812,0.1344537815,0.7454545455,0.6671338472,0.6355932203,0.6254180602,0.6244604317,0.5793269231,0.219269103,0.85,0.5688073394,0.2119815668,0.1818181818,0.7617924528,0.6300429185,0.7074148297,0.5370786517,0.8049624928,0.4562211982,0.5582685905,0.2805298216,0.3429951691,0.682824906,0.3009118541,0.2447418738,0.8181818182,0.2466487936,0.1893939394,0.03846153846,0.6100628931,0.5379746835,0.2487223169,0.07547169811,0.85,0.4014962594,0.1784511785,0.8222222222,0.2734082397,0.2236842105,0.4228769497,0.5256410256,0.5747126437,0.2454954955,0.5621301775,0.1237113402,
0.8125,0.8965517241,0.1111111111,0.8964326812,0.1344537815,0.7454545455,0.6671338472,0.6355932203,0.6254180602,0.6244604317,0.5793269231,0.219269103,0.85,0.5688073394,0.2119815668,0.1818181818,0.7617924528,0.6300429185,0.7074148297,0.5370786517,0.8049624928,0.4562211982,0.5582685905,0.2805298216,0.3429951691,0.682824906,0.3009118541,0.2447418738,0.8181818182,0.2466487936,0.1893939394,0.03846153846,0.6100628931,0.5379746835,0.2487223169,0.07547169811,0.85,0.4014962594,0.1784511785,0.8222222222,0.2734082397,0.2236842105,0.4228769497,0.5256410256,0.5747126437,0.2454954955,0.5621301775,0.1237113402,0.25,0.7931034483,0.2222222222,0.7928653625,0.05602240896,0.8272727273,0.7133847232,0.6920903955,0.3612040134,0.4690647482,0.4903846154,0.5415282392,0.475,0.4678899083,0.465437788,0.4393939394,0.695754717,0.5570815451,0.6452905812,0.7123595506,0.4933641085,0.5529953917,0.667036626,0.2879565118,0.9975845411,0.7074801504,0.6930091185,0.6185468451,0.8181818182,0.5201072386,0.4166666667,0.3846153846,0.7688679245,0.7341772152,0.5689948893,0.4339622642,0.7,0.6275976725,0.4545454545,0.6888888889,0.5842696629,0.5526315789,0.5372616984,0.4230769231,0.2988505747,0.5157657658,0.6035502959,0.4226804124,1
0.375,0.5862068966,0.4074074074,0.6041426928,0.05042016807,0.8484848485,0.7274001402,0.7796610169,0.652173913,0.8690647482,0.4975961538,0.7043189369,0.375,0.5137614679,0.5253456221,0.5151515152,0.5966981132,0.5167381974,0.6573146293,0.7224719101,0.4991344489,0.7258064516,0.7413984462,0.4721690529,0.7946859903,0.6101128291,0.8814589666,0.8374760994,0.7272727273,0.6246648794,0.553030303,0.4615384615,0.8003144654,0.8481012658,0.601362862,0.5408805031,0.7,0.7797173732,0.7205387205,0.5777777778,0.468164794,0.4605263158,0.4714038128,0.4423076923,0.632183908,0.3423423423,0.3786982249,0.6288659794,0.6875,0.6896551724,0.2962962963,0.7123130035,0.162464986,0.7181818182,0.5599159075,0.5677966102,0.6387959866,0.5928057554,0.4615384615,0.2558139535,0.6833333333,0.4770642202,0.1059907834,0.09090909091,0.6297169811,0.5545064378,0.5470941884,0.4820224719,0.6255049048,0.6267281106,0.6470588235,0.4476686318,0.3357487923,0.7283744254,0.2613981763,0.2284894837,0.7272727273,0.1340482574,0.1212121212,0.1153846154,0.501572327,0.4683544304,0.4429301533,0.358490566,0.55,0.5253532835,0.3973063973,0.6222222222,0.2397003745,0.2105263158,0.4003466205,0.3653846154,0.6206896552,0.1171171171,0.4437869822,0.1855670103,
0.6875,0.6896551724,0.2962962963,0.7123130035,0.162464986,0.7181818182,0.5599159075,0.5677966102,0.6387959866,0.5928057554,0.4615384615,0.2558139535,0.6833333333,0.4770642202,0.1059907834,0.09090909091,0.6297169811,0.5545064378,0.5470941884,0.4820224719,0.6255049048,0.6267281106,0.6470588235,0.4476686318,0.3357487923,0.7283744254,0.2613981763,0.2284894837,0.7272727273,0.1340482574,0.1212121212,0.1153846154,0.501572327,0.4683544304,0.4429301533,0.358490566,0.55,0.5253532835,0.3973063973,0.6222222222,0.2397003745,0.2105263158,0.4003466205,0.3653846154,0.6206896552,0.1171171171,0.4437869822,0.1855670103,0.375,0.5862068966,0.4074074074,0.6041426928,0.05042016807,0.8484848485,0.7274001402,0.7796610169,0.652173913,0.8690647482,0.4975961538,0.7043189369,0.375,0.5137614679,0.5253456221,0.5151515152,0.5966981132,0.5167381974,0.6573146293,0.7224719101,0.4991344489,0.7258064516,0.7413984462,0.4721690529,0.7946859903,0.6101128291,0.8814589666,0.8374760994,0.7272727273,0.6246648794,0.553030303,0.4615384615,0.8003144654,0.8481012658,0.601362862,0.5408805031,0.7,0.7797173732,0.7205387205,0.5777777778,0.468164794,0.4605263158,0.4714038128,0.4423076923,0.632183908,0.3423423423,0.3786982249,0.6288659794,1
