YEAR,ROUND,S1,TEAM1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,TEAM2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
2014,2,0.0625,Gonzaga,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,0.5,Boise St,0.8620689655,0.1851851852,0.83429229,0.04761904762,0.8575757576,0.5711282411,0.4604519774,0.4983277592,0.5208633094,0.3149038462,0.5282392027,0.3333333333,0.2293577982,0.3778801843,0.3333333333,0.5896226415,0.3751072961,0.5511022044,0.5505617978,0.5441431044,0.5207373272,0.5527192009,0.4080085751,0.7342995169,0.2703719181,0.6170212766,0.517208413,0.9090909091,0.4021447721,0.2878787879,0.1538461538,0.6588050314,0.5316455696,0.3594548552,0.1446540881,0.8,0.4646716542,0.1952861953,0.6666666667,0.3820224719,0.3157894737,0.2772963605,0.4038461538,0.4137931034,0.4076576577,0.5266272189,0.3711340206,
2014,2,0.5,Boise St,0.8620689655,0.1851851852,0.83429229,0.04761904762,0.8575757576,0.5711282411,0.4604519774,0.4983277592,0.5208633094,0.3149038462,0.5282392027,0.3333333333,0.2293577982,0.3778801843,0.3333333333,0.5896226415,0.3751072961,0.5511022044,0.5505617978,0.5441431044,0.5207373272,0.5527192009,0.4080085751,0.7342995169,0.2703719181,0.6170212766,0.517208413,0.9090909091,0.4021447721,0.2878787879,0.1538461538,0.6588050314,0.5316455696,0.3594548552,0.1446540881,0.8,0.4646716542,0.1952861953,0.6666666667,0.3820224719,0.3157894737,0.2772963605,0.4038461538,0.4137931034,0.4076576577,0.5266272189,0.3711340206,0.0625,Gonzaga,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,1
2014,2,0.75,New Mexico St,0.8275862069,0.1481481481,0.8550057537,0.06442577031,0.8151515152,0.5781359495,0.5903954802,0.4983277592,0.5870503597,0.4471153846,0.6445182724,0.375,0.4587155963,0.4423963134,0.4393939394,0.6533018868,0.5811158798,0.5430861723,0.497752809,0.5983843047,0.435483871,0.6304106548,0.1349820075,0.6859903382,0.4759715838,0.6534954407,0.6137667304,0.7272727273,0.3914209115,0.3484848485,0.3076923077,0.7201257862,0.746835443,0.332197615,0.2264150943,0.9,0.4771404821,0.3367003367,0.6888888889,0.2359550562,0.2105263158,0.6360485269,0.2628205128,0.4597701149,0.2747747748,0.3550295858,0.5670103093,0.8125,Vermont,0.8965517241,0.1111111111,0.8964326812,0.1344537815,0.7454545455,0.6671338472,0.6355932203,0.6254180602,0.6244604317,0.5793269231,0.219269103,0.85,0.5688073394,0.2119815668,0.1818181818,0.7617924528,0.6300429185,0.7074148297,0.5370786517,0.8049624928,0.4562211982,0.5582685905,0.2805298216,0.3429951691,0.682824906,0.3009118541,0.2447418738,0.8181818182,0.2466487936,0.1893939394,0.03846153846,0.6100628931,0.5379746835,0.2487223169,0.07547169811,0.85,0.4014962594,0.1784511785,0.8222222222,0.2734082397,0.2236842105,0.4228769497,0.5256410256,0.5747126437,0.2454954955,0.5621301775,0.1237113402,
2014,2,0.8125,Vermont,0.8965517241,0.1111111111,0.8964326812,0.1344537815,0.7454545455,0.6671338472,0.6355932203,0.6254180602,0.6244604317,0.5793269231,0.219269103,0.85,0.5688073394,0.2119815668,0.1818181818,0.7617924528,0.6300429185,0.7074148297,0.5370786517,0.8049624928,0.4562211982,0.5582685905,0.2805298216,0.3429951691,0.682824906,0.3009118541,0.2447418738,0.8181818182,0.2466487936,0.1893939394,0.03846153846,0.6100628931,0.5379746835,0.2487223169,0.07547169811,0.85,0.4014962594,0.1784511785,0.8222222222,0.2734082397,0.2236842105,0.4228769497,0.5256410256,0.5747126437,0.2454954955,0.5621301775,0.1237113402,0.75,New Mexico St,0.8275862069,0.1481481481,0.8550057537,0.06442577031,0.8151515152,0.5781359495,0.5903954802,0.4983277592,0.5870503597,0.4471153846,0.6445182724,0.375,0.4587155963,0.4423963134,0.4393939394,0.6533018868,0.5811158798,0.5430861723,0.497752809,0.5983843047,0.435483871,0.6304106548,0.1349820075,0.6859903382,0.4759715838,0.6534954407,0.6137667304,0.7272727273,0.3914209115,0.3484848485,0.3076923077,0.7201257862,0.746835443,0.332197615,0.2264150943,0.9,0.4771404821,0.3367003367,0.6888888889,0.2359550562,0.2105263158,0.6360485269,0.2628205128,0.4597701149,0.2747747748,0.3550295858,0.5670103093,1
2014,2,0.6875,RUTG/NOTRE,0.6896551724,0.2962962963,0.7123130035,0.162464986,0.7181818182,0.5599159075,0.5677966102,0.6387959866,0.5928057554,0.4615384615,0.2558139535,0.6833333333,0.4770642202,0.1059907834,0.09090909091,0.6297169811,0.5545064378,0.5470941884,0.4820224719,0.6255049048,0.6267281106,0.6470588235,0.4476686318,0.3357487923,0.7283744254,0.2613981763,0.2284894837,0.7272727273,0.1340482574,0.1212121212,0.1153846154,0.501572327,0.4683544304,0.4429301533,0.358490566,0.55,0.5253532835,0.3973063973,0.6222222222,0.2397003745,0.2105263158,0.4003466205,0.3653846154,0.6206896552,0.1171171171,0.4437869822,0.1855670103,0.1875,Texas Tech,0.7931034483,0.2592592593,0.7663981588,0.05322128852,0.8454545455,0.6426068676,0.5451977401,0.3377926421,0.4129496403,0.4807692308,0.7209302326,0.3583333333,0.4220183486,0.3732718894,0.3333333333,0.6768867925,0.4686695279,0.6492985972,0.5730337079,0.667051356,0.3548387097,0.5660377358,0.08291861266,0.8019323671,0.4793146678,0.6565349544,0.5535372849,0.9090909091,0.5040214477,0.3712121212,0.2692307692,0.7374213836,0.6202531646,0.3884156729,0.1761006289,0.85,0.4522028263,0.1784511785,0.7555555556,0.670411985,0.6184210526,0.6759098787,0.3269230769,0.2528735632,0.6373873874,0.6035502959,0.5567010309,
2014,2,0.1875,Texas Tech,0.7931034483,0.2592592593,0.7663981588,0.05322128852,0.8454545455,0.6426068676,0.5451977401,0.3377926421,0.4129496403,0.4807692308,0.7209302326,0.3583333333,0.4220183486,0.3732718894,0.3333333333,0.6768867925,0.4686695279,0.6492985972,0.5730337079,0.667051356,0.3548387097,0.5660377358,0.08291861266,0.8019323671,0.4793146678,0.6565349544,0.5535372849,0.9090909091,0.5040214477,0.3712121212,0.2692307692,0.7374213836,0.6202531646,0.3884156729,0.1761006289,0.85,0.4522028263,0.1784511785,0.7555555556,0.670411985,0.6184210526,0.6759098787,0.3269230769,0.2528735632,0.6373873874,0.6035502959,0.5567010309,0.6875,RUTG/NOTRE,0.6896551724,0.2962962963,0.7123130035,0.162464986,0.7181818182,0.5599159075,0.5677966102,0.6387959866,0.5928057554,0.4615384615,0.2558139535,0.6833333333,0.4770642202,0.1059907834,0.09090909091,0.6297169811,0.5545064378,0.5470941884,0.4820224719,0.6255049048,0.6267281106,0.6470588235,0.4476686318,0.3357487923,0.7283744254,0.2613981763,0.2284894837,0.7272727273,0.1340482574,0.1212121212,0.1153846154,0.501572327,0.4683544304,0.4429301533,0.358490566,0.55,0.5253532835,0.3973063973,0.6222222222,0.2397003745,0.2105263158,0.4003466205,0.3653846154,0.6206896552,0.1171171171,0.4437869822,0.1855670103,1
2014,2,0.4375,Michigan St,0.6896551724,0.3703703704,0.665132336,0.08683473389,0.8,0.6517168886,0.5564971751,0.474916388,0.4129496403,0.6634615385,0.634551495,0.55,0.623853211,0.6221198157,0.5757575758,0.7759433962,0.5751072961,0.6553106212,0.6393258427,0.5931909983,0.6866359447,0.7957824639,0.3272337493,0.5869565217,0.679481822,0.6018237082,0.5028680688,0.9090909091,0.5737265416,0.4242424242,0.3461538462,0.7751572327,0.664556962,0.5229982964,0.320754717,0.75,0.6816292602,0.4511784512,0.5777777778,0.3707865169,0.3026315789,0.568457539,0.3205128205,0.3908045977,0.2027027027,0.3136094675,0.4742268041,0.125,Duke,0.8965517241,0.1481481481,0.8688147296,0.04481792717,0.8606060606,0.8444288718,0.7853107345,0.5886287625,0.5697841727,0.7548076923,0.3122923588,0.9166666667,0.7247706422,0.6958525346,0.6363636364,0.8160377358,0.6180257511,0.9058116232,0.7842696629,0.7784189267,0.8041474654,0.9267480577,0.3342010566,0.5917874396,0.6050982031,0.6686930091,0.5650095602,0.9090909091,0.273458445,0.1742424242,0.03846153846,0.8364779874,0.7405063291,0.5928449744,0.3962264151,0.75,0.6450540316,0.4074074074,0.8,0.4531835206,0.3947368421,0.4939341421,0.3333333333,0.5057471264,0.2477477477,0.5147928994,0.175257732,
2014,2,0.125,Duke,0.8965517241,0.1481481481,0.8688147296,0.04481792717,0.8606060606,0.8444288718,0.7853107345,0.5886287625,0.5697841727,0.7548076923,0.3122923588,0.9166666667,0.7247706422,0.6958525346,0.6363636364,0.8160377358,0.6180257511,0.9058116232,0.7842696629,0.7784189267,0.8041474654,0.9267480577,0.3342010566,0.5917874396,0.6050982031,0.6686930091,0.5650095602,0.9090909091,0.273458445,0.1742424242,0.03846153846,0.8364779874,0.7405063291,0.5928449744,0.3962264151,0.75,0.6450540316,0.4074074074,0.8,0.4531835206,0.3947368421,0.4939341421,0.3333333333,0.5057471264,0.2477477477,0.5147928994,0.175257732,0.4375,Michigan St,0.6896551724,0.3703703704,0.665132336,0.08683473389,0.8,0.6517168886,0.5564971751,0.474916388,0.4129496403,0.6634615385,0.634551495,0.55,0.623853211,0.6221198157,0.5757575758,0.7759433962,0.5751072961,0.6553106212,0.6393258427,0.5931909983,0.6866359447,0.7957824639,0.3272337493,0.5869565217,0.679481822,0.6018237082,0.5028680688,0.9090909091,0.5737265416,0.4242424242,0.3461538462,0.7751572327,0.664556962,0.5229982964,0.320754717,0.75,0.6816292602,0.4511784512,0.5777777778,0.3707865169,0.3026315789,0.568457539,0.3205128205,0.3908045977,0.2027027027,0.3136094675,0.4742268041,1
2014,2,0.0625,Baylor,0.8275862069,0.1481481481,0.8550057537,0.03081232493,0.896969697,0.649614576,0.6807909605,0.508361204,0.5410071942,0.5913461538,0.4850498339,0.6,0.623853211,0.331797235,0.3181818182,0.4410377358,0.3399141631,0.6933867735,0.6539325843,0.6324293133,0.4884792627,0.5238623751,0.3954521093,0.5096618357,0.4755536983,0.8054711246,0.7629063098,0.7272727273,0.3887399464,0.3409090909,0.2692307692,0.6572327044,0.664556962,0.3747870528,0.2767295597,0.8,0.4397339983,0.2895622896,0.7777777778,0.6853932584,0.6973684211,0.3483535529,0.2371794872,0.4712643678,0.5382882883,0.6568047337,0.412371134,0.5,North Carolina,0.7586206897,0.2592592593,0.7571921749,0.09523809524,0.7939393939,0.7266993693,0.709039548,0.5719063545,0.5683453237,0.5480769231,0.4352159468,0.6,0.5321100917,0.4147465438,0.3787878788,0.8655660377,0.7442060086,0.7114228457,0.7280898876,0.5701096365,0.797235023,0.8257491676,0.4645892351,0.6086956522,0.7864605098,0.6352583587,0.5640535373,0.8181818182,0.3002680965,0.2348484848,0.2307692308,0.8522012579,0.835443038,0.4293015332,0.2767295597,0.9,0.714879468,0.5622895623,0.6222222222,0.2996254682,0.25,0.5528596187,0.5576923077,0.5172413793,0.1486486486,0.3727810651,0.3298969072,
2014,2,0.5,North Carolina,0.7586206897,0.2592592593,0.7571921749,0.09523809524,0.7939393939,0.7266993693,0.709039548,0.5719063545,0.5683453237,0.5480769231,0.4352159468,0.6,0.5321100917,0.4147465438,0.3787878788,0.8655660377,0.7442060086,0.7114228457,0.7280898876,0.5701096365,0.797235023,0.8257491676,0.4645892351,0.6086956522,0.7864605098,0.6352583587,0.5640535373,0.8181818182,0.3002680965,0.2348484848,0.2307692308,0.8522012579,0.835443038,0.4293015332,0.2767295597,0.9,0.714879468,0.5622895623,0.6222222222,0.2996254682,0.25,0.5528596187,0.5576923077,0.5172413793,0.1486486486,0.3727810651,0.3298969072,0.0625,Baylor,0.8275862069,0.1481481481,0.8550057537,0.03081232493,0.896969697,0.649614576,0.6807909605,0.508361204,0.5410071942,0.5913461538,0.4850498339,0.6,0.623853211,0.331797235,0.3181818182,0.4410377358,0.3399141631,0.6933867735,0.6539325843,0.6324293133,0.4884792627,0.5238623751,0.3954521093,0.5096618357,0.4755536983,0.8054711246,0.7629063098,0.7272727273,0.3887399464,0.3409090909,0.2692307692,0.6572327044,0.664556962,0.3747870528,0.2767295597,0.8,0.4397339983,0.2895622896,0.7777777778,0.6853932584,0.6973684211,0.3483535529,0.2371794872,0.4712643678,0.5382882883,0.6568047337,0.412371134,1
