S1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,0.25,0.7931034483,0.2222222222,0.7928653625,0.05602240896,0.8272727273,0.7133847232,0.6920903955,0.3612040134,0.4690647482,0.4903846154,0.5415282392,0.475,0.4678899083,0.465437788,0.4393939394,0.695754717,0.5570815451,0.6452905812,0.7123595506,0.4933641085,0.5529953917,0.667036626,0.2879565118,0.9975845411,0.7074801504,0.6930091185,0.6185468451,0.8181818182,0.5201072386,0.4166666667,0.3846153846,0.7688679245,0.7341772152,0.5689948893,0.4339622642,0.7,0.6275976725,0.4545454545,0.6888888889,0.5842696629,0.5526315789,0.5372616984,0.4230769231,0.2988505747,0.5157657658,0.6035502959,0.4226804124,1
0.25,0.7931034483,0.2222222222,0.7928653625,0.05602240896,0.8272727273,0.7133847232,0.6920903955,0.3612040134,0.4690647482,0.4903846154,0.5415282392,0.475,0.4678899083,0.465437788,0.4393939394,0.695754717,0.5570815451,0.6452905812,0.7123595506,0.4933641085,0.5529953917,0.667036626,0.2879565118,0.9975845411,0.7074801504,0.6930091185,0.6185468451,0.8181818182,0.5201072386,0.4166666667,0.3846153846,0.7688679245,0.7341772152,0.5689948893,0.4339622642,0.7,0.6275976725,0.4545454545,0.6888888889,0.5842696629,0.5526315789,0.5372616984,0.4230769231,0.2988505747,0.5157657658,0.6035502959,0.4226804124,0.0625,0.8275862069,0.03703703704,0.9528193326,0.01400560224,0.9363636364,0.71899089,1,0.4715719064,0.4071942446,0.6418269231,0.2890365449,0.8333333333,0.8440366972,0.6129032258,0.696969697,0.7948113208,1,0.7975951904,0.5,1,0.3778801843,0.6193118757,0.04831176786,0.4710144928,0.6084412871,0.3920972644,0.4407265774,0.4545454545,0.2278820375,0.3106060606,0.1153846154,0.679245283,0.9367088608,0.2367972743,0.3144654088,0.95,0.3225270158,0.3468013468,1,0.3520599251,0.4210526316,0.3362218371,0.2884615385,0.5287356322,0.222972973,0.5147928994,0.3402061856,0
0.1875,0.7931034483,0.2592592593,0.7663981588,0.05322128852,0.8454545455,0.6426068676,0.5451977401,0.3377926421,0.4129496403,0.4807692308,0.7209302326,0.3583333333,0.4220183486,0.3732718894,0.3333333333,0.6768867925,0.4686695279,0.6492985972,0.5730337079,0.667051356,0.3548387097,0.5660377358,0.08291861266,0.8019323671,0.4793146678,0.6565349544,0.5535372849,0.9090909091,0.5040214477,0.3712121212,0.2692307692,0.7374213836,0.6202531646,0.3884156729,0.1761006289,0.85,0.4522028263,0.1784511785,0.7555555556,0.670411985,0.6184210526,0.6759098787,0.3269230769,0.2528735632,0.6373873874,0.6035502959,0.5567010309,0.125,0.8965517241,0.1481481481,0.8688147296,0.04481792717,0.8606060606,0.8444288718,0.7853107345,0.5886287625,0.5697841727,0.7548076923,0.3122923588,0.9166666667,0.7247706422,0.6958525346,0.6363636364,0.8160377358,0.6180257511,0.9058116232,0.7842696629,0.7784189267,0.8041474654,0.9267480577,0.3342010566,0.5917874396,0.6050982031,0.6686930091,0.5650095602,0.9090909091,0.273458445,0.1742424242,0.03846153846,0.8364779874,0.7405063291,0.5928449744,0.3962264151,0.75,0.6450540316,0.4074074074,0.8,0.4531835206,0.3947368421,0.4939341421,0.3333333333,0.5057471264,0.2477477477,0.5147928994,0.175257732,0
0.125,0.8965517241,0.1481481481,0.8688147296,0.04481792717,0.8606060606,0.8444288718,0.7853107345,0.5886287625,0.5697841727,0.7548076923,0.3122923588,0.9166666667,0.7247706422,0.6958525346,0.6363636364,0.8160377358,0.6180257511,0.9058116232,0.7842696629,0.7784189267,0.8041474654,0.9267480577,0.3342010566,0.5917874396,0.6050982031,0.6686930091,0.5650095602,0.9090909091,0.273458445,0.1742424242,0.03846153846,0.8364779874,0.7405063291,0.5928449744,0.3962264151,0.75,0.6450540316,0.4074074074,0.8,0.4531835206,0.3947368421,0.4939341421,0.3333333333,0.5057471264,0.2477477477,0.5147928994,0.175257732,0.1875,0.7931034483,0.2592592593,0.7663981588,0.05322128852,0.8454545455,0.6426068676,0.5451977401,0.3377926421,0.4129496403,0.4807692308,0.7209302326,0.3583333333,0.4220183486,0.3732718894,0.3333333333,0.6768867925,0.4686695279,0.6492985972,0.5730337079,0.667051356,0.3548387097,0.5660377358,0.08291861266,0.8019323671,0.4793146678,0.6565349544,0.5535372849,0.9090909091,0.5040214477,0.3712121212,0.2692307692,0.7374213836,0.6202531646,0.3884156729,0.1761006289,0.85,0.4522028263,0.1784511785,0.7555555556,0.670411985,0.6184210526,0.6759098787,0.3269230769,0.2528735632,0.6373873874,0.6035502959,0.5567010309,1
0.0625,0.8275862069,0.1481481481,0.8550057537,0.03081232493,0.896969697,0.649614576,0.6807909605,0.508361204,0.5410071942,0.5913461538,0.4850498339,0.6,0.623853211,0.331797235,0.3181818182,0.4410377358,0.3399141631,0.6933867735,0.6539325843,0.6324293133,0.4884792627,0.5238623751,0.3954521093,0.5096618357,0.4755536983,0.8054711246,0.7629063098,0.7272727273,0.3887399464,0.3409090909,0.2692307692,0.6572327044,0.664556962,0.3747870528,0.2767295597,0.8,0.4397339983,0.2895622896,0.7777777778,0.6853932584,0.6973684211,0.3483535529,0.2371794872,0.4712643678,0.5382882883,0.6568047337,0.412371134,0.25,0.7931034483,0.1851851852,0.8193325662,0.02521008403,0.9060606061,0.6468114926,0.6779661017,0.3946488294,0.3841726619,0.4471153846,0.1295681063,0.8166666667,0.4587155963,0.3179723502,0.303030303,0.5235849057,0.4334763948,0.6753507014,0.6966292135,0.5551067513,0.4562211982,0.526082131,0.3315978868,0.5966183575,0.6372753865,0.6930091185,0.6520076482,0.7272727273,0.4235924933,0.3712121212,0.1923076923,0.6540880503,0.664556962,0.4327086882,0.3459119497,0.7,0.4713216958,0.32996633,0.7555555556,0.4719101124,0.4605263158,0.4090121317,0.3846153846,0.3563218391,0.3783783784,0.7278106509,0.07216494845,1
0.25,0.7931034483,0.1851851852,0.8193325662,0.02521008403,0.9060606061,0.6468114926,0.6779661017,0.3946488294,0.3841726619,0.4471153846,0.1295681063,0.8166666667,0.4587155963,0.3179723502,0.303030303,0.5235849057,0.4334763948,0.6753507014,0.6966292135,0.5551067513,0.4562211982,0.526082131,0.3315978868,0.5966183575,0.6372753865,0.6930091185,0.6520076482,0.7272727273,0.4235924933,0.3712121212,0.1923076923,0.6540880503,0.664556962,0.4327086882,0.3459119497,0.7,0.4713216958,0.32996633,0.7555555556,0.4719101124,0.4605263158,0.4090121317,0.3846153846,0.3563218391,0.3783783784,0.7278106509,0.07216494845,0.0625,0.8275862069,0.1481481481,0.8550057537,0.03081232493,0.896969697,0.649614576,0.6807909605,0.508361204,0.5410071942,0.5913461538,0.4850498339,0.6,0.623853211,0.331797235,0.3181818182,0.4410377358,0.3399141631,0.6933867735,0.6539325843,0.6324293133,0.4884792627,0.5238623751,0.3954521093,0.5096618357,0.4755536983,0.8054711246,0.7629063098,0.7272727273,0.3887399464,0.3409090909,0.2692307692,0.6572327044,0.664556962,0.3747870528,0.2767295597,0.8,0.4397339983,0.2895622896,0.7777777778,0.6853932584,0.6973684211,0.3483535529,0.2371794872,0.4712643678,0.5382882883,0.6568047337,0.412371134,0
0.1875,0.8620689655,0.1851851852,0.83429229,0.02801120448,0.8909090909,0.8353188507,0.7740112994,0.652173913,0.5769784173,0.7307692308,0.4750830565,0.725,0.6972477064,0.3778801843,0.3333333333,0.7948113208,0.5948497854,0.8076152305,0.6516853933,0.8038084247,0.7580645161,0.8146503885,0.4170431054,0.8719806763,0.4951943168,0.7234042553,0.6156787763,0.9090909091,0.3378016086,0.2348484848,0.07692307692,0.8506289308,0.7594936709,0.3134582624,0.09433962264,1,0.6907730673,0.4646464646,0.7555555556,0.2172284644,0.1447368421,0.6932409012,0.4679487179,0.5632183908,0.1328828829,0.3431952663,0.3298969072,0.125,0.8275862069,0.1851851852,0.8273878021,0.01960784314,0.9151515152,0.7715487036,0.7655367232,0.3377926421,0.3194244604,0.6514423077,0.4252491694,0.7,0.6513761468,0.465437788,0.4393939394,0.7287735849,0.5931330472,0.8957915832,0.7943820225,0.7518753606,0.6059907834,0.7269700333,0.291172192,0.5265700483,0.6101128291,0.8601823708,0.7782026769,0.8181818182,0.2895442359,0.2196969697,0.07692307692,0.8773584906,0.8607594937,0.3304940375,0.1698113208,1,0.5577722361,0.3703703704,0.8,0.4756554307,0.4342105263,0.4662045061,0.2628205128,0.275862069,0.3040540541,0.4970414201,0.3195876289,1
0.125,0.8275862069,0.1851851852,0.8273878021,0.01960784314,0.9151515152,0.7715487036,0.7655367232,0.3377926421,0.3194244604,0.6514423077,0.4252491694,0.7,0.6513761468,0.465437788,0.4393939394,0.7287735849,0.5931330472,0.8957915832,0.7943820225,0.7518753606,0.6059907834,0.7269700333,0.291172192,0.5265700483,0.6101128291,0.8601823708,0.7782026769,0.8181818182,0.2895442359,0.2196969697,0.07692307692,0.8773584906,0.8607594937,0.3304940375,0.1698113208,1,0.5577722361,0.3703703704,0.8,0.4756554307,0.4342105263,0.4662045061,0.2628205128,0.275862069,0.3040540541,0.4970414201,0.3195876289,0.1875,0.8620689655,0.1851851852,0.83429229,0.02801120448,0.8909090909,0.8353188507,0.7740112994,0.652173913,0.5769784173,0.7307692308,0.4750830565,0.725,0.6972477064,0.3778801843,0.3333333333,0.7948113208,0.5948497854,0.8076152305,0.6516853933,0.8038084247,0.7580645161,0.8146503885,0.4170431054,0.8719806763,0.4951943168,0.7234042553,0.6156787763,0.9090909091,0.3378016086,0.2348484848,0.07692307692,0.8506289308,0.7594936709,0.3134582624,0.09433962264,1,0.6907730673,0.4646464646,0.7555555556,0.2172284644,0.1447368421,0.6932409012,0.4679487179,0.5632183908,0.1328828829,0.3431952663,0.3298969072,0
0.0625,1,0.03703703704,0.9700805524,0.002801120448,0.9636363636,0.9488437281,0.9096045198,0.5418060201,0.5568345324,1,0.6445182724,0.8,1,0.7235023041,0.6666666667,1,0.8145922747,0.9579158317,0.8101123596,0.8188113099,0.7188940092,1,0.1104050226,0.9371980676,0.6439615545,0.7477203647,0.637667304,0.9090909091,0.5308310992,0.3939393939,0.1923076923,1,0.9367088608,0.5689948893,0.3710691824,0.9,0.6558603491,0.4208754209,0.8888888889,0.4831460674,0.4210526316,0.5632582322,0.4166666667,0.4597701149,0.3941441441,0.4556213018,0.4845360825,0.3125,0.9310344828,0.1111111111,0.9021864212,0.02240896359,0.9151515152,0.7407147863,0.6610169492,0.5685618729,0.6316546763,0.7403846154,0.4352159468,0.775,0.7064220183,0.6451612903,0.5909090909,0.6768867925,0.4686695279,0.8016032064,0.7584269663,0.6630121177,0.2880184332,0.538290788,0,0.5821256039,0.354784789,0.9452887538,0.8202676864,0.9090909091,0.6139410188,0.4621212121,0.4230769231,0.8867924528,0.7974683544,0.465076661,0.2578616352,0.9,0.4114713217,0.1313131313,0.8666666667,0.6779026217,0.6184210526,0.5736568458,0.1794871795,0.4827586207,0.5022522523,0.6449704142,0.2886597938,1
0.3125,0.9310344828,0.1111111111,0.9021864212,0.02240896359,0.9151515152,0.7407147863,0.6610169492,0.5685618729,0.6316546763,0.7403846154,0.4352159468,0.775,0.7064220183,0.6451612903,0.5909090909,0.6768867925,0.4686695279,0.8016032064,0.7584269663,0.6630121177,0.2880184332,0.538290788,0,0.5821256039,0.354784789,0.9452887538,0.8202676864,0.9090909091,0.6139410188,0.4621212121,0.4230769231,0.8867924528,0.7974683544,0.465076661,0.2578616352,0.9,0.4114713217,0.1313131313,0.8666666667,0.6779026217,0.6184210526,0.5736568458,0.1794871795,0.4827586207,0.5022522523,0.6449704142,0.2886597938,0.0625,1,0.03703703704,0.9700805524,0.002801120448,0.9636363636,0.9488437281,0.9096045198,0.5418060201,0.5568345324,1,0.6445182724,0.8,1,0.7235023041,0.6666666667,1,0.8145922747,0.9579158317,0.8101123596,0.8188113099,0.7188940092,1,0.1104050226,0.9371980676,0.6439615545,0.7477203647,0.637667304,0.9090909091,0.5308310992,0.3939393939,0.1923076923,1,0.9367088608,0.5689948893,0.3710691824,0.9,0.6558603491,0.4208754209,0.8888888889,0.4831460674,0.4210526316,0.5632582322,0.4166666667,0.4597701149,0.3941441441,0.4556213018,0.4845360825,0
