S1,W1,L1,WINPCT1,RPI1,RPIRATE1,PTS1,PPG1,3FG1,3FGA1,AST1,TO1,ASTTORATIO1,APG1,BLKS1,BKPG1,DREBS1,DRPG1,FGM1,FGA1,FGPCT1,OPPFG1,OPPFGA1,OPPFGPCT1,FTA1,FTPCT1,OREBS1,ORPG1,GM1,FOULS1,PFPG1,DQ1,REB1,RPG1,OPPREB1,OPPRPG1,REBMAR1,OPPPTS1,OPPPPG1,SCRMAR1,ST1,STPG1,OPP3FGA1,OPP3FGPCT1,3PG1,OPPTO1,TORATIO1,TOPG1,S2,W2,L2,WINPCT2,RPI2,RPIRATE2,PTS2,PPG2,3FG2,3FGA2,AST2,TO2,ASTTORATIO2,APG2,BLKS2,BKPG2,DREBS2,DRPG2,FGM2,FGA2,FGPCT2,OPPFG2,OPPFGA2,OPPFGPCT2,FTA2,FTPCT2,OREBS2,ORPG2,GM2,FOULS2,PFPG2,DQ2,REB2,RPG2,OPPREB2,OPPRPG2,REBMAR2,OPPPTS2,OPPPPG2,SCRMAR2,ST2,STPG2,OPP3FGA2,OPP3FGPCT2,3PG2,OPPTO2,TORATIO2,TOPG2,T1RESULT
0.0625,0.9444,0.0714,0.9438,0.0028,0.9812,0.6233,0.4735,0.4305,0.4004,0.5201,0.5043,0.4966,0.3897,0.3644,0.2836,0.5719,0.4231,0.5989,0.5435,0.6313,0.4228,0.6085,0.2874,0.6424,0.3932,0.6266,0.5606,0.8667,0.4318,0.2602,0.1739,0.6473,0.5395,0.4879,0.1802,0.6955,0.38,0.1481,0.7691,0.6087,0.494,0.3789,0.4167,0.3333,0.6081,0.6603,0.3426,0.25,0.7222,0.2857,0.7607,0.0568,0.836,0.7646,0.7725,0.3597,0.2912,0.7527,0.3553,0.8414,0.6912,0.3347,0.2836,0.5797,0.5403,0.7759,0.6543,0.7933,0.5919,0.6976,0.4371,0.6008,0.7393,0.4564,0.4258,0.7333,0.525,0.4146,0.2826,0.5727,0.5349,0.5647,0.3198,0.5597,0.6307,0.4398,0.7386,0.8328,0.759,0.7026,0.5064,0.3048,0.6136,0.7692,0.2593,1
0.25,0.7222,0.2857,0.7607,0.0568,0.836,0.7646,0.7725,0.3597,0.2912,0.7527,0.3553,0.8414,0.6912,0.3347,0.2836,0.5797,0.5403,0.7759,0.6543,0.7933,0.5919,0.6976,0.4371,0.6008,0.7393,0.4564,0.4258,0.7333,0.525,0.4146,0.2826,0.5727,0.5349,0.5647,0.3198,0.5597,0.6307,0.4398,0.7386,0.8328,0.759,0.7026,0.5064,0.3048,0.6136,0.7692,0.2593,0.0625,0.9444,0.0714,0.9438,0.0028,0.9812,0.6233,0.4735,0.4305,0.4004,0.5201,0.5043,0.4966,0.3897,0.3644,0.2836,0.5719,0.4231,0.5989,0.5435,0.6313,0.4228,0.6085,0.2874,0.6424,0.3932,0.6266,0.5606,0.8667,0.4318,0.2602,0.1739,0.6473,0.5395,0.4879,0.1802,0.6955,0.38,0.1481,0.7691,0.6087,0.494,0.3789,0.4167,0.3333,0.6081,0.6603,0.3426,0
0.6875,0.6667,0.3571,0.7012,0.1051,0.7473,0.5947,0.5344,0.3978,0.3327,0.4762,0.5358,0.4414,0.3897,0.2712,0.2239,0.4781,0.3971,0.5851,0.5134,0.648,0.4908,0.5473,0.485,0.5748,0.4487,0.5519,0.531,0.7333,0.7159,0.6016,0.1522,0.5543,0.507,0.441,0.2162,0.6337,0.5407,0.3611,0.6166,0.4348,0.3735,0.3579,0.4295,0.3429,0.4853,0.5385,0.4167,0.625,0.5833,0.4286,0.6307,0.108,0.7554,0.5665,0.5476,0.3025,0.2588,0.348,0.4413,0.3793,0.2721,0.5169,0.4776,0.5328,0.5297,0.5311,0.4597,0.6257,0.4926,0.6103,0.4012,0.6502,0.5385,0.4129,0.3995,0.6667,0.5318,0.4634,0.413,0.5233,0.5116,0.4908,0.2973,0.5638,0.5257,0.3912,0.5991,0.3311,0.2892,0.4474,0.5385,0.2667,0.4011,0.5128,0.3704,1
0.625,0.5833,0.4286,0.6307,0.108,0.7554,0.5665,0.5476,0.3025,0.2588,0.348,0.4413,0.3793,0.2721,0.5169,0.4776,0.5328,0.5297,0.5311,0.4597,0.6257,0.4926,0.6103,0.4012,0.6502,0.5385,0.4129,0.3995,0.6667,0.5318,0.4634,0.413,0.5233,0.5116,0.4908,0.2973,0.5638,0.5257,0.3912,0.5991,0.3311,0.2892,0.4474,0.5385,0.2667,0.4011,0.5128,0.3704,0.6875,0.6667,0.3571,0.7012,0.1051,0.7473,0.5947,0.5344,0.3978,0.3327,0.4762,0.5358,0.4414,0.3897,0.2712,0.2239,0.4781,0.3971,0.5851,0.5134,0.648,0.4908,0.5473,0.485,0.5748,0.4487,0.5519,0.531,0.7333,0.7159,0.6016,0.1522,0.5543,0.507,0.441,0.2162,0.6337,0.5407,0.3611,0.6166,0.4348,0.3735,0.3579,0.4295,0.3429,0.4853,0.5385,0.4167,0
0.0625,0.7778,0.2143,0.8203,0.0313,0.8656,0.4811,0.3757,0.297,0.2467,0.4744,0.3295,0.5862,0.3897,0.5,0.4478,0.55,0.498,0.4744,0.4074,0.5978,0.2776,0.4923,0.2036,0.5397,0.4145,0.5041,0.4784,0.7333,0.3932,0.2927,0.0217,0.5766,0.5395,0.3371,0.1261,0.7407,0.2421,0.0995,0.732,0.3378,0.2771,0.3803,0.3718,0.2476,0.4011,0.5833,0.2407,0.25,0.75,0.2857,0.7674,0.0682,0.8199,0.6965,0.6217,0.5722,0.4732,0.7546,0.5301,0.6828,0.6618,0.6017,0.5224,0.6594,0.5948,0.7082,0.625,0.7095,0.443,0.6571,0.2575,0.4564,0.5598,0.5415,0.4945,0.8,0.6818,0.5285,0.1957,0.6618,0.6,0.5121,0.2387,0.6996,0.55,0.3287,0.7211,0.5585,0.4699,0.5526,0.4295,0.4857,0.467,0.5192,0.3889,0
0.25,0.75,0.2857,0.7674,0.0682,0.8199,0.6965,0.6217,0.5722,0.4732,0.7546,0.5301,0.6828,0.6618,0.6017,0.5224,0.6594,0.5948,0.7082,0.625,0.7095,0.443,0.6571,0.2575,0.4564,0.5598,0.5415,0.4945,0.8,0.6818,0.5285,0.1957,0.6618,0.6,0.5121,0.2387,0.6996,0.55,0.3287,0.7211,0.5585,0.4699,0.5526,0.4295,0.4857,0.467,0.5192,0.3889,0.0625,0.7778,0.2143,0.8203,0.0313,0.8656,0.4811,0.3757,0.297,0.2467,0.4744,0.3295,0.5862,0.3897,0.5,0.4478,0.55,0.498,0.4744,0.4074,0.5978,0.2776,0.4923,0.2036,0.5397,0.4145,0.5041,0.4784,0.7333,0.3932,0.2927,0.0217,0.5766,0.5395,0.3371,0.1261,0.7407,0.2421,0.0995,0.732,0.3378,0.2771,0.3803,0.3718,0.2476,0.4011,0.5833,0.2407,1
0.1875,0.7222,0.25,0.7839,0.0227,0.8871,0.7574,0.8201,0.5559,0.5308,0.8022,0.3582,0.8828,0.7794,0.3136,0.2687,0.6922,0.76,0.7607,0.6883,0.7095,0.6949,0.8497,0.3952,0.5683,0.5,0.471,0.4656,0.6667,0.4591,0.3902,0.3478,0.6492,0.6791,0.6842,0.4685,0.5556,0.6836,0.5324,0.6906,0.408,0.3614,0.5526,0.4872,0.5143,0.4103,0.5769,0.2963,0.4375,0.8333,0.25,0.8082,0.071,0.8333,0.6981,0.5238,0.5177,0.4307,0.4817,0.5788,0.4207,0.3235,0.839,0.7015,0.6875,0.5256,0.6349,0.6274,0.5698,0.5551,0.8218,0.2275,0.5878,0.859,0.4959,0.4029,0.9333,0.6773,0.4472,0.2826,0.6579,0.5116,0.7539,0.3604,0.5103,0.5771,0.2731,0.6906,0.6321,0.494,0.5145,0.4167,0.4,0.5934,0.6026,0.3704,0
0.4375,0.8333,0.25,0.8082,0.071,0.8333,0.6981,0.5238,0.5177,0.4307,0.4817,0.5788,0.4207,0.3235,0.839,0.7015,0.6875,0.5256,0.6349,0.6274,0.5698,0.5551,0.8218,0.2275,0.5878,0.859,0.4959,0.4029,0.9333,0.6773,0.4472,0.2826,0.6579,0.5116,0.7539,0.3604,0.5103,0.5771,0.2731,0.6906,0.6321,0.494,0.5145,0.4167,0.4,0.5934,0.6026,0.3704,0.1875,0.7222,0.25,0.7839,0.0227,0.8871,0.7574,0.8201,0.5559,0.5308,0.8022,0.3582,0.8828,0.7794,0.3136,0.2687,0.6922,0.76,0.7607,0.6883,0.7095,0.6949,0.8497,0.3952,0.5683,0.5,0.471,0.4656,0.6667,0.4591,0.3902,0.3478,0.6492,0.6791,0.6842,0.4685,0.5556,0.6836,0.5324,0.6906,0.408,0.3614,0.5526,0.4872,0.5143,0.4103,0.5769,0.2963,1
0.0625,0.8611,0.1429,0.8831,0,1,0.6448,0.5529,0.2916,0.2487,0.6392,0.3782,0.7034,0.5368,0.5975,0.5224,0.6484,0.5793,0.6694,0.5965,0.6816,0.3676,0.6418,0.1557,0.6411,0.3547,0.6577,0.62,0.8,0.475,0.3333,0.2174,0.7093,0.6605,0.4737,0.2072,0.7819,0.36,0.1667,0.8148,0.4381,0.3614,0.2645,0.3526,0.2286,0.5073,0.6474,0.2593,0.25,0.8056,0.1429,0.8754,0.0341,0.8656,0.5225,0.4841,0.2425,0.2063,0.2399,0.2865,0.3724,0.1544,0.6398,0.597,0.5078,0.4931,0.4993,0.5063,0.4916,0.2904,0.5185,0.1916,0.6827,0.3718,0.668,0.6896,0.6667,0.4068,0.3415,0.1957,0.6269,0.6512,0.4723,0.2838,0.6996,0.2364,0.1296,0.793,0.6087,0.5663,0.3474,0.1474,0.2095,0.5421,0.75,0.2315,1
0.25,0.8056,0.1429,0.8754,0.0341,0.8656,0.5225,0.4841,0.2425,0.2063,0.2399,0.2865,0.3724,0.1544,0.6398,0.597,0.5078,0.4931,0.4993,0.5063,0.4916,0.2904,0.5185,0.1916,0.6827,0.3718,0.668,0.6896,0.6667,0.4068,0.3415,0.1957,0.6269,0.6512,0.4723,0.2838,0.6996,0.2364,0.1296,0.793,0.6087,0.5663,0.3474,0.1474,0.2095,0.5421,0.75,0.2315,0.0625,0.8611,0.1429,0.8831,0,1,0.6448,0.5529,0.2916,0.2487,0.6392,0.3782,0.7034,0.5368,0.5975,0.5224,0.6484,0.5793,0.6694,0.5965,0.6816,0.3676,0.6418,0.1557,0.6411,0.3547,0.6577,0.62,0.8,0.475,0.3333,0.2174,0.7093,0.6605,0.4737,0.2072,0.7819,0.36,0.1667,0.8148,0.4381,0.3614,0.2645,0.3526,0.2286,0.5073,0.6474,0.2593,0
